adapts,deltas,ns,train_losses,valid_losses
True,0.001,4,1.8374574270713921,2.4207397976612497
False,0.001,4,1.7891753263072188,2.5211824437259667
True,0.002,4,1.8415217801262207,2.3777812823465836
False,0.002,4,1.794145391950626,2.4718309568529615
True,0.003,4,1.845461987843485,2.3545830764300812
False,0.003,4,1.7989740684867706,2.4449222158831265
True,0.004,4,1.8492901893495253,2.3394044691966607
False,0.004,4,1.8036743936666102,2.427130761990532
True,0.005,4,1.8530166268021,2.328573043894915
False,0.005,4,1.8082574309096116,2.414287555269858
True,0.006,4,1.856650034101109,2.320457578904339
False,0.006,4,1.8127326670665154,2.404540179767045
True,0.007,4,1.8601979296250604,2.314191089743113
False,0.007,4,1.8171083128911414,2.396903670902202
True,0.008,4,1.863666840255732,2.3092583346981863
False,0.008,4,1.8213915337134203,2.390792372823147
True,0.009,4,1.8670624752923477,2.3053286551352965
False,0.009,4,1.8255886290931642,2.3858302161514438
True,0.01,4,1.8703898632292466,2.3021775579181156
False,0.01,4,1.829705174576293,2.381761708176343
True,0.011,4,1.8736534605881623,2.2996459123503006
False,0.011,4,1.8337461348631365,2.3784056130460307
True,0.012,4,1.876857239447288,2.297617004275652
False,0.012,4,1.8377159551293967,2.375628899768041
True,0.013,4,1.8800047585228814,2.2960028262083765
False,0.013,4,1.8416186354377877,2.373331173825829
True,0.014,4,1.8830992214133755,2.294735477179257
False,0.014,4,1.845457791917198,2.3714349092438423
True,0.015,4,1.8861435247180398,2.293761547571934
False,0.015,4,1.8492367074716243,2.3698790695226175
True,0.016,4,1.8891402980936443,2.2930383279417725
False,0.016,4,1.852958374140763,2.36861479961144
True,0.017,4,1.8920919378345618,2.2925311753515967
False,0.017,4,1.8566255287249023,2.3676024323727423
True,0.018,4,1.8950006352099849,2.2922116383809428
False,0.018,4,1.8602406829485076,2.3668093567484685
True,0.019,4,1.8978684005173754,2.292056093459542
False,0.019,4,1.8638061491520561,2.3662084667940735
True,0.02,4,1.9006970836240844,2.292044734311754
False,0.02,4,1.8673240622939375,2.365777011929258
True,0.021,4,1.903488391595801,2.2921608105391287
False,0.021,4,1.8707963989027656,2.3654957303291644
True,0.022,4,1.9062439039036005,2.2923900453612602
False,0.022,4,1.8742249934730946,2.3653481859723047
True,0.023,4,1.9089650856043157,2.292720184402456
False,0.023,4,1.8776115527189228,2.3653202546910554
True,0.024,4,1.9116532988141979,2.293140641810876
False,0.024,4,1.8809576680255853,2.3653997209201965
True,0.025,4,1.9143098127352873,2.2936422196769066
False,0.025,4,1.884264826354359,2.3655759578338023
True,0.026,4,1.9169358124577984,2.2942168833509773
False,0.026,4,1.8875344198542625,2.365839671093348
True,0.027,4,1.9195324067088908,2.2948575798830033
False,0.027,4,1.8907677543414612,2.3661826916817903
True,0.028,4,1.9221006347052025,2.295558090078953
False,0.028,4,1.8939660568211807,2.3665978070162534
True,0.029,4,1.9246414722273424,2.296312907019258
False,0.029,4,1.8971304821747335,2.3670786222016145
True,0.03,4,1.9271558370242943,2.297117135594324
False,0.03,4,1.9002621191256561,2.3676194452316226
True,0.031,4,1.929644593636001,2.2979664088707215
False,0.031,4,1.9033619955768197,2.36821519137356
True,0.032,4,1.9321085577094939,2.2988568180401256
False,0.032,4,1.9064310833998843,2.368861303040284
True,0.033,4,1.9345484998686597,2.2997848534080902
False,0.033,4,1.909470302742214,2.3695536822550567
True,0.034,4,1.936965149199633,2.300747354416261
False,0.034,4,1.9124805259131892,2.3702886334232884
True,0.035,4,1.9393591963905221,2.3017414671023726
False,0.035,4,1.9154625808963064,2.3710628145954784
True,0.036,4,1.9417312965712115,2.3027646077203876
False,0.036,4,1.9184172545327707,2.3718731957639045
True,0.037,4,1.9440820718855631,2.3038144314908933
False,0.037,4,1.921345295410733,2.3727170230204915
True,0.038,4,1.9464121138271384,2.304888805645571
False,0.038,4,1.9242474164971137,2.3735917876221673
True,0.039,4,1.9487219853657076,2.30598578608466
False,0.039,4,1.9271242975386553,2.374495199187106
True,0.04,4,1.9510122228822822,2.3071035970871816
False,0.04,4,1.9299765872497712,2.375425162382584
True,0.041,4,1.953283337941161,2.3082406136126217
False,0.041,4,1.9328049053237448,2.376379756578512
True,0.042,4,1.9555358189077294,2.309395345811592
False,0.042,4,1.9356098442697753,2.377357218029511
True,0.043,4,1.9577701324339434,2.310566425426094
False,0.043,4,1.9383919711067685,2.378355924221466
True,0.044,4,1.9599867248212677,2.3117525938134724
False,0.044,4,1.941151828915313,2.3793743800782217
True,0.045,4,1.9621860232739536,2.312952691369321
False,0.045,4,1.9438899382753272,2.3804112057721825
True,0.046,4,1.9643684370552916,2.3141656481606385
False,0.046,4,1.9466067985864113,2.381465125922539
True,0.047,4,1.966534358552253,2.315390475608769
False,0.047,4,1.9493028892940025,2.3825349599984813
True,0.048,4,1.9686841642609165,2.3166262590863824
False,0.048,4,1.951978671019639,2.3836196137711565
True,0.049,4,1.9708182156960459,2.3178721513119074
False,0.049,4,1.9546345866113066,2.38471807168182
True,0.05,4,1.9729368602375406,2.3191273664423453
False,0.05,4,1.9572710621201084,2.3858293900121863
True,0.051,4,1.9750404319118269,2.3203911747789103
False,0.051,4,1.959888507702941,2.38695269075952
True,0.052,4,1.9771292521202748,2.3216628980120677
False,0.052,4,1.962487318468066,2.388087156131604
True,0.053,4,1.9792036303149905,2.3229419049421542
False,0.053,4,1.96506787525819,2.389232023589669
True,0.054,4,1.9812638646306358,2.324227607620949
False,0.054,4,1.9676305453852494,2.3903865813752563
True,0.055,4,1.9833102424694455,2.3255194578660805
False,0.055,4,1.9701756833129445,2.3915501644668793
True,0.056,4,1.9853430410520632,2.3268169441065636
False,0.056,4,1.972703631296778,2.392722150918289
True,0.057,4,1.9873625279279301,2.3281195885233026
False,0.057,4,1.9752147199818668,2.3939019585365684
True,0.058,4,1.9893689614557017,2.329426944452472
False,0.058,4,1.9777092689660347,2.3950890418638457
True,0.059,4,1.9913625912507946,2.3307385940239977
False,0.059,4,1.9801875873209136,2.396282889430053
True,0.06,4,1.9933436586069568,2.3320541460106066
False,0.06,4,1.9826499740907315,2.39748302124887
True,0.061,4,1.9953123968899766,2.3333732338652977
False,0.061,4,1.985096718751622,2.39868898653169
True,0.062,4,1.997269031908404,2.334695513928879
False,0.062,4,1.9875281016500266,2.39990036159766
True,0.063,4,1.9992137822614766,2.336020663790009
False,0.063,4,1.9899443944125101,2.401116747960641
True,0.064,4,2.0011468596664015,2.3373483807829056
False,0.064,4,1.9923458603306814,2.402337770575013
True,0.065,4,2.0030684692674448,2.338678380609585
False,0.065,4,1.9947327547272986,2.4035630762259013
True,0.066,4,2.004978809925605,2.340010396074257
False,0.066,4,1.9971053253008675,2.4047923320495452
True,0.067,4,2.006878074492658,2.341344175919966
False,0.067,4,1.9994638124469062,2.4060252241715996
True,0.068,4,2.0087664500705293,2.3426794837574003
False,0.068,4,2.0018084495685793,2.4072614564529626
True,0.069,4,2.010644118254183,2.344016097077764
False,0.069,4,2.004139463363853,2.408500749332782
True,0.07,4,2.0125112553632105,2.3453538063419703
False,0.07,4,2.006457074100224,2.409742838760095
True,0.071,4,2.0143680326609004,2.34669241413953
False,0.071,4,2.0087614958782205,2.4109874752064617
True,0.072,4,2.0162146165589516,2.348031734410621
False,0.072,4,2.0110529368724155,2.4122344227523875
True,0.073,4,2.0180511688156315,2.3493715917263756
False,0.073,4,2.013331599570481,2.4134834582406985
True,0.074,4,2.019877846719061,2.3507118206219544
False,0.074,4,2.015597680991033,2.4147343704921607
True,0.075,4,2.0216948032652406,2.3520522649782416
False,0.075,4,2.0178513728952163,2.4159869595771335
True,0.076,4,2.0235021873237415,2.3533927774477625
False,0.076,4,2.0200928619878966,2.4172410361390178
True,0.077,4,2.0253001437968217,2.3547332189216292
False,0.077,4,2.022322330106965,2.4184964207655493
True,0.078,4,2.0270888137703866,2.356073458033634
False,0.078,4,2.0245399544047316,2.4197529434032194
True,0.079,4,2.028868334657032,2.3574133706990397
False,0.079,4,2.0267459075195173,2.4210104428124235
True,0.08,4,2.0306388403330935,2.3587528396847706
False,0.08,4,2.028940357740324,2.422268766059135
True,0.081,4,2.032400461267588,2.360091754209028
False,0.081,4,2.0311234691628672,2.423527768040982
True,0.082,4,2.0341533246467236,2.3614300095675516
False,0.082,4,2.0332954018391645,2.424787311044567
True,0.083,4,2.0358975544910978,2.3627675067849605
False,0.083,4,2.0354563119187454,2.4260472643319804
True,0.084,4,2.037633271769056,2.3641041522888324
False,0.084,4,2.0376063517857976,2.4273075037541854
True,0.085,4,2.039360594502836,2.3654398576051117
False,0.085,4,2.039745670187071,2.4285679113890364
True,0.086,4,2.041079637871532,2.3667745390730777
False,0.086,4,2.041874412357418,2.429828375202516
True,0.087,4,2.0427905143093663,2.3681081175785907
False,0.087,4,2.043992720137081,2.4310887887313046
True,0.088,4,2.0444933335980737,2.369440518303995
False,0.088,4,2.0461007320845934,2.432349050784912
True,0.089,4,2.0461882029566327,2.3707716704939155
False,0.089,4,2.048198583586097,2.4336090651664133
True,0.09,4,2.04787522712734,2.372101507235334
False,0.09,4,2.050286406959267,2.434868740410104
True,0.091,4,2.049554508456191,2.373429965251395
False,0.091,4,2.0523643315502587,2.436127989535124
True,0.092,4,2.0512261469724544,2.374756984707415
False,0.092,4,2.0544324838330983,2.4373867298136385
True,0.093,4,2.0528902404630265,2.37608250902898
False,0.093,4,2.0564909874956716,2.4386448825530818
True,0.094,4,2.054546884543848,2.37740648473064
False,0.094,4,2.0585399635313917,2.4399023728909177
True,0.095,4,2.0561961727292313,2.3787288612547224
False,0.095,4,2.060579530320205,2.441159129601518
True,0.096,4,2.057838196498277,2.380049590819813
False,0.096,4,2.062609803711973,2.442415084914144
True,0.097,4,2.0594730453565786,2.3813686282778455
False,0.097,4,2.064630897100216,2.4436701743413134
True,0.098,4,2.0611008068988244,2.382685930979447
False,0.098,4,2.06664292149937,2.444924336516873
True,0.099,4,2.0627215668661703,2.3840014586471656
False,0.099,4,2.06864598561463,2.446177513043284
True,0.1,4,2.0643354092023145,2.3853151732556728
False,0.1,4,2.0706401959112584,2.447429648347412
True,0.001,5,1.3862962852360003,2.679202576336745
False,0.001,5,1.3177875381589501,2.7979444982356605
True,0.002,5,1.39827657113185,2.597981810245034
False,0.002,5,1.3316873001290273,2.7109727595251853
True,0.003,5,1.409788902899544,2.554933348121585
False,0.003,5,1.345069780713112,2.6645787801497485
True,0.004,5,1.4208811423100451,2.5273139877644057
False,0.004,5,1.3579856671286472,2.634599101233209
True,0.005,5,1.4315935753750502,2.5080165728995913
False,0.005,5,1.3704778180310095,2.6134812218047214
True,0.006,5,1.4419604723078059,2.4938886480004627
False,0.006,5,1.3825828536392222,2.597874180541095
True,0.007,5,1.4520112614800085,2.483257751050527
False,0.007,5,1.3943323554285036,2.585999549091419
True,0.008,5,1.461771427136462,2.475132142965917
False,0.008,5,1.4057537859166886,2.5768022922880864
True,0.009,5,1.4712632057558392,2.4688769950519656
False,0.009,5,1.416871204040632,2.5696067301217305
True,0.01,5,1.480506133251254,2.464062539319423
False,0.01,5,1.4277058288195725,2.5639551892173804
True,0.011,5,1.4895174799938908,2.460385095224835
False,0.011,5,1.4382764886906751,2.5595240798677903
True,0.012,5,1.4983126003661036,2.457622685692756
False,0.012,5,1.4485999835525805,2.5560767236356994
True,0.013,5,1.5069052163663785,2.4556085377906927
False,0.013,5,1.4586913793133052,2.5534351845460646
True,0.014,5,1.5153076497711695,2.4542144740419407
False,0.014,5,1.4685642496783426,2.5514626106881746
True,0.015,5,1.5235310137472662,2.4533400789527144
False,0.015,5,1.4782308762533938,2.5500517135981613
True,0.016,5,1.5315853721997779,2.452905392562938
False,0.016,5,1.4877024154089538,2.5491169965678266
True,0.017,5,1.5394798732172439,2.4528458408747684
False,0.017,5,1.4969890384008382,2.548589360907673
True,0.018,5,1.5472228615618575,2.453108631365412
False,0.018,5,1.5061000498053578,2.54841226994385
True,0.019,5,1.554821974059828,2.453650135148558
False,0.019,5,1.5150439882185953,2.548538962241791
True,0.02,5,1.5622842209642471,2.454433949909458
False,0.02,5,1.5238287123724092,2.548930388918416
True,0.021,5,1.5696160557121517,2.455429442712576
False,0.021,5,1.532461475160579,2.549553661462565
True,0.022,5,1.576823435028081,2.456610637542927
False,0.022,5,1.5409489875828664,2.550380866376155
True,0.023,5,1.5839118709607105,2.457955354733602
False,0.023,5,1.5492974742471293,2.5513881479001883
True,0.024,5,1.5908864761256112,2.4594445372645386
False,0.024,5,1.5575127217443252,2.5525549896767066
True,0.025,5,1.597752003203025,2.461061717620809
False,0.025,5,1.5656001209843162,2.5538636460817945
True,0.026,5,1.6045128795656156,2.462792591709109
False,0.026,5,1.5735647043999124,2.5552986875854216
True,0.027,5,1.6111732377319194,2.464624675251055
False,0.027,5,1.5814111787456766,2.5568466339800278
True,0.028,5,1.6177369422610326,2.466547024385978
False,0.028,5,1.5891439541276726,2.558495656034622
True,0.029,5,1.624207613570048,2.4685500067439943
False,0.029,5,1.5967671697721653,2.560235330947996
True,0.03,5,1.6305886490950474,2.4706251125452985
False,0.03,5,1.604284716970959,2.562056440480191
True,0.031,5,1.636883242154832,2.472764797703873
False,0.031,5,1.6117002595786156,2.563950803218643
True,0.032,5,1.6430943988090914,2.4749623527183893
False,0.032,5,1.6190172523736386,2.5659111343564196
True,0.033,5,1.6492249529606993,2.4772117924887223
False,0.033,5,1.6262389575359129,2.5679309278021427
